index	name	volume-mm3
4	Left-Lateral-Ventricle	4712.0
5	Left-Inf-Lat-Vent	669.0
7	Left-Cerebellum-White-Matter	15503.0
8	Left-Cerebellum-Cortex	53490.0
10	Left-Thalamus	9533.0
11	Left-Caudate	3574.0
12	Left-Putamen	5621.0
13	Left-Pallidum	2175.0
14	3rd-Ventricle	1020.0
15	4th-Ventricle	1285.0
16	Brain-Stem	22369.0
17	Left-Hippocampus	4638.0
18	Left-Amygdala	1923.0
24	CSF	1228.0
26	Left-Accumbens-area	486.0
28	Left-VentralDC	4545.0
31	Left-choroid-plexus	653.0
43	Right-Lateral-Ventricle	4489.0
44	Right-Inf-Lat-Vent	310.0
46	Right-Cerebellum-White-Matter	14319.0
47	Right-Cerebellum-Cortex	54702.0
49	Right-Thalamus	8959.0
50	Right-Caudate	3766.0
51	Right-Putamen	5710.0
52	Right-Pallidum	2287.0
53	Right-Hippocampus	4504.0
54	Right-Amygdala	1841.0
58	Right-Accumbens-area	606.0
60	Right-VentralDC	4672.0
62	Right-vessel	10.0
63	Right-choroid-plexus	606.0
85	Optic-Chiasm	79.0
251	CC_Posterior	943.0
252	CC_Mid_Posterior	488.0
253	CC_Central	675.0
254	CC_Mid_Anterior	573.0
255	CC_Anterior	906.0
1001	ctx-lh-bankssts	2931.0
1002	ctx-lh-caudalanteriorcingulate	1630.0
1003	ctx-lh-caudalmiddlefrontal	5713.0
1005	ctx-lh-cuneus	3308.0
1006	ctx-lh-entorhinal	2060.0
1007	ctx-lh-fusiform	8680.0
1008	ctx-lh-inferiorparietal	12806.0
1009	ctx-lh-inferiortemporal	9815.0
1010	ctx-lh-isthmuscingulate	2744.0
1011	ctx-lh-lateraloccipital	12724.0
1012	ctx-lh-lateralorbitofrontal	7490.0
1013	ctx-lh-lingual	5575.0
1014	ctx-lh-medialorbitofrontal	5427.0
1015	ctx-lh-middletemporal	11881.0
1016	ctx-lh-parahippocampal	2139.0
1017	ctx-lh-paracentral	3170.0
1018	ctx-lh-parsopercularis	3689.0
1019	ctx-lh-parsorbitalis	2341.0
1020	ctx-lh-parstriangularis	2799.0
1021	ctx-lh-pericalcarine	2245.0
1022	ctx-lh-postcentral	8718.0
1023	ctx-lh-posteriorcingulate	2542.0
1024	ctx-lh-precentral	12853.0
1025	ctx-lh-precuneus	8036.0
1026	ctx-lh-rostralanteriorcingulate	2941.0
1027	ctx-lh-rostralmiddlefrontal	14316.0
1028	ctx-lh-superiorfrontal	20215.0
1029	ctx-lh-superiorparietal	11516.0
1030	ctx-lh-superiortemporal	12135.0
1031	ctx-lh-supramarginal	10828.0
1032	ctx-lh-frontalpole	1182.0
1033	ctx-lh-temporalpole	3152.0
1034	ctx-lh-transversetemporal	974.0
1035	ctx-lh-insula	7206.0
2001	ctx-rh-bankssts	2217.0
2002	ctx-rh-caudalanteriorcingulate	2111.0
2003	ctx-rh-caudalmiddlefrontal	4926.0
2005	ctx-rh-cuneus	3505.0
2006	ctx-rh-entorhinal	2044.0
2007	ctx-rh-fusiform	8915.0
2008	ctx-rh-inferiorparietal	16968.0
2009	ctx-rh-inferiortemporal	11465.0
2010	ctx-rh-isthmuscingulate	2247.0
2011	ctx-rh-lateraloccipital	10428.0
2012	ctx-rh-lateralorbitofrontal	7590.0
2013	ctx-rh-lingual	6448.0
2014	ctx-rh-medialorbitofrontal	6151.0
2015	ctx-rh-middletemporal	12158.0
2016	ctx-rh-parahippocampal	1987.0
2017	ctx-rh-paracentral	3352.0
2018	ctx-rh-parsopercularis	3847.0
2019	ctx-rh-parsorbitalis	2524.0
2020	ctx-rh-parstriangularis	4125.0
2021	ctx-rh-pericalcarine	3169.0
2022	ctx-rh-postcentral	7460.0
2023	ctx-rh-posteriorcingulate	3019.0
2024	ctx-rh-precentral	12966.0
2025	ctx-rh-precuneus	7895.0
2026	ctx-rh-rostralanteriorcingulate	1991.0
2027	ctx-rh-rostralmiddlefrontal	17981.0
2028	ctx-rh-superiorfrontal	20501.0
2029	ctx-rh-superiorparietal	10633.0
2030	ctx-rh-superiortemporal	10687.0
2031	ctx-rh-supramarginal	9330.0
2032	ctx-rh-frontalpole	1238.0
2033	ctx-rh-temporalpole	3337.0
2034	ctx-rh-transversetemporal	703.0
2035	ctx-rh-insula	6624.0
3001	wm-lh-bankssts	2461.0
3002	wm-lh-caudalanteriorcingulate	2433.0
3003	wm-lh-caudalmiddlefrontal	5391.0
3005	wm-lh-cuneus	2956.0
3006	wm-lh-entorhinal	1215.0
3007	wm-lh-fusiform	6049.0
3008	wm-lh-inferiorparietal	9078.0
3009	wm-lh-inferiortemporal	5908.0
3010	wm-lh-isthmuscingulate	3791.0
3011	wm-lh-lateraloccipital	11249.0
3012	wm-lh-lateralorbitofrontal	6943.0
3013	wm-lh-lingual	5131.0
3014	wm-lh-medialorbitofrontal	3498.0
3015	wm-lh-middletemporal	5929.0
3016	wm-lh-parahippocampal	1433.0
3017	wm-lh-paracentral	3834.0
3018	wm-lh-parsopercularis	2807.0
3019	wm-lh-parsorbitalis	935.0
3020	wm-lh-parstriangularis	2236.0
3021	wm-lh-pericalcarine	3693.0
3022	wm-lh-postcentral	7441.0
3023	wm-lh-posteriorcingulate	3982.0
3024	wm-lh-precentral	13197.0
3025	wm-lh-precuneus	8172.0
3026	wm-lh-rostralanteriorcingulate	2905.0
3027	wm-lh-rostralmiddlefrontal	12098.0
3028	wm-lh-superiorfrontal	15343.0
3029	wm-lh-superiorparietal	10003.0
3030	wm-lh-superiortemporal	8030.0
3031	wm-lh-supramarginal	7532.0
3032	wm-lh-frontalpole	307.0
3033	wm-lh-temporalpole	649.0
3034	wm-lh-transversetemporal	968.0
3035	wm-lh-insula	10449.0
4001	wm-rh-bankssts	3156.0
4002	wm-rh-caudalanteriorcingulate	2997.0
4003	wm-rh-caudalmiddlefrontal	4870.0
4005	wm-rh-cuneus	3228.0
4006	wm-rh-entorhinal	1253.0
4007	wm-rh-fusiform	6309.0
4008	wm-rh-inferiorparietal	11437.0
4009	wm-rh-inferiortemporal	6085.0
4010	wm-rh-isthmuscingulate	3247.0
4011	wm-rh-lateraloccipital	9544.0
4012	wm-rh-lateralorbitofrontal	7052.0
4013	wm-rh-lingual	6516.0
4014	wm-rh-medialorbitofrontal	4388.0
4015	wm-rh-middletemporal	6049.0
4016	wm-rh-parahippocampal	1408.0
4017	wm-rh-paracentral	3979.0
4018	wm-rh-parsopercularis	2783.0
4019	wm-rh-parsorbitalis	1088.0
4020	wm-rh-parstriangularis	2669.0
4021	wm-rh-pericalcarine	4328.0
4022	wm-rh-postcentral	6544.0
4023	wm-rh-posteriorcingulate	4438.0
4024	wm-rh-precentral	12882.0
4025	wm-rh-precuneus	7823.0
4026	wm-rh-rostralanteriorcingulate	1762.0
4027	wm-rh-rostralmiddlefrontal	14975.0
4028	wm-rh-superiorfrontal	16123.0
4029	wm-rh-superiorparietal	9167.0
4030	wm-rh-superiortemporal	6476.0
4031	wm-rh-supramarginal	7731.0
4032	wm-rh-frontalpole	444.0
4033	wm-rh-temporalpole	662.0
4034	wm-rh-transversetemporal	628.0
4035	wm-rh-insula	9339.0
5001	Left-UnsegmentedWhiteMatter	31907.0
5002	Right-UnsegmentedWhiteMatter	31681.0
